product_family,launch_month,download_12m_total,download_peak_month,download_peak,latest_download_month,latest_downloads,latest_download_vs_peak,revenue_12m_total_usd,revenue_peak_month,revenue_peak_usd,latest_revenue_month,latest_revenue_usd,latest_revenue_vs_peak,latest_3m_revenue_carryover,rpd_latest_usd,trajectory,data_gaps
Heartopia,2025-12,21578293,2026-01,10886824,2026-08,385481,0.03540803084535949,96954529,2026-02,22197579,2026-08,8616226,0.3881606187773901,0.4005201948674973,n.a.,post_peak_decay,"download/revenue scope mismatch; paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
Township,2013-10,105336694,2026-01,11424208,2026-08,8292473,0.7258685241025024,413604535,2026-08,40891078,2026-08,40891078,1,0.952366870836714,4.931107764836859,mid_retention,"paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
Hay Day,2012-06,31352067,2025-11,3113282,2026-08,2720461,0.8738241508478833,159922114,2026-05,15042554,2026-08,14508815,0.964518059898605,0.953862799273758,5.33321925952991,durable_or_reaccelerating,"paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
我的花园世界,2025-08,12005696,2026-03,1814712,2026-08,731803,0.4032612337384665,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,mid_retention,"revenue:source_unavailable; paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
The Cozy Florist,2025-11,9360767,2026-03,1945671,2026-08,1383555,0.711094013324966,6344668,2026-03,1158405,2026-08,791306,0.6830996067869182,0.672576229096617,0.5719367860330814,mid_retention,"paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
"Good Pizza, Great Pizza",2014-12,24740485,2026-01,2560377,2026-08,1999298,0.7808607872981206,346885,2025-09,38790,2026-08,27177,0.7006187161639598,0.677356707055083,0.01359327123820461,durable_or_reaccelerating,"paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
My Perfect Hotel,2022-04,54978034,2025-12,5664907,2026-08,4923278,0.8690836407376149,5121408,2026-08,675798,2026-08,675798,1,0.8475747683972628,0.13726586229743679,durable_or_reaccelerating,"paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
Eatventure,2022-02,5913423,2026-06,670025,2026-08,631371,0.9423096153128615,4480289,2026-05,483637,2026-08,405227,0.8378742734737004,0.9388735766701058,0.6418207361440421,durable_or_reaccelerating,"paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
Office Cat,2024-05,2716869,2025-09,429095,2026-08,101219,0.2358894883417425,3064911,2025-09,413268,2026-08,231929,0.5612072553403602,0.5687995844504453,2.291358341813296,post_peak_decay,"paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
Rent Please!,2022-10,9149390,2026-08,1140526,2026-08,1140526,1,5578781,2026-04,580642,2026-08,556227,0.9579517155148956,0.8661406971363882,0.4876933976077705,durable_or_reaccelerating,"paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
疯狂水世界 / Wild Water World,2026-01,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,27070630,2026-08,6774291,2026-08,6774291,1,0.7421704598557498,n.a.,unavailable,"downloads:source_unavailable; paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
Animal Restaurant,2019-09,1985701,2025-12,180408,2026-08,136724,0.7578599618642189,417710,2026-05,49734,2026-08,36059,0.7250371978927896,0.6451119958177505,0.26373570112050554,durable_or_reaccelerating,"paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
Big Farm Homestead,2025-06,6431389,2026-05,964480,2026-08,506249,0.5248932067020571,8360391,2026-05,1221707,2026-08,1126094,0.9217381909082947,0.8905779645474187,2.2243876037286,mid_retention,"paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
Resortopia,2021-10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,34277,2026-07,3864,2026-08,2983,0.7719979296066253,0.838336783988958,n.a.,unavailable,"downloads:source_unavailable; paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
Cat Snack Bar,2023-01,1236385,2025-10,137964,2026-08,68103,0.4936287727233191,197153,2025-10,25989,2026-08,12754,0.4907460848820655,0.6316518527069145,0.1872751567478672,mid_retention,"paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
QQ经典农场,2026-02,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,unavailable,"downloads:not_applicable; revenue:not_applicable; paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
向往的生活,2025-10,665209,2026-06,142570,2026-08,30829,0.2162376376516799,2551836,2026-08,508197,2026-08,508197,1,0.8370474441997887,16.484381588763828,post_peak_decay,"paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
时尚百货城,2026-01,5567508,2026-02,2446624,2026-08,299050,0.12222965196123312,36623756,2026-08,6193135,2026-08,6193135,1,0.9054740988745333,20.7093629827788,post_peak_decay,"paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
浪漫餐厅 / Gossip Harbor,2022-07,88272326,2026-07,11361120,2026-08,9528861,0.8387254953736956,829146407,2026-08,87034788,2026-08,87034788,1,0.9180968534099262,9.133808122502783,durable_or_reaccelerating,"paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
