product_family,download_peak_month,download_peak,latest_download_month,latest_downloads,latest_download_vs_peak,revenue_peak_month,revenue_peak_usd,latest_revenue_month,latest_revenue_usd,latest_revenue_vs_peak,trailing_3m_revenue_hold_vs_peak,revenue_persistence_vs_download_peak,rpd_latest_usd,cluster,download_reacceleration_candidates,revenue_reacceleration_candidates,us_monthly_scope,global_or_collection_scope,evidence_limit
Heartopia,2026-01,10886824,2026-08,385481,0.0354,2026-02,22197579,2026-08,8616226,0.3882,0.4005,n.a.,n.a.,evidence_insufficient,none,2026-01:603.8%|2026-02:177.7%|2026-07:31.7%,TBD,available,"download/revenue scope mismatch; paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
Township,2026-01,11424208,2026-08,8292473,0.7259,2026-08,40891078,2026-08,40891078,1.0000,0.9524,1.38,4.931107764836859,long_term_stable,2026-01:57.0%|2026-07:41.8%,none,TBD,available,"paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
Hay Day,2025-11,3113282,2026-08,2720461,0.8738,2026-05,15042554,2026-08,14508815,0.9645,0.9539,1.10,5.33321925952991,long_term_stable,none,none,TBD,available,"paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
我的花园世界,2026-03,1814712,2026-08,731803,0.4033,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,evidence_insufficient,2025-12:28.7%|2026-02:240.1%,none,TBD,available,"revenue:source_unavailable; paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
The Cozy Florist,2026-03,1945671,2026-08,1383555,0.7111,2026-03,1158405,2026-08,791306,0.6831,0.6726,0.96,0.5719367860330814,mixed,2026-03:98.5%|2026-08:94.8%,2026-03:58.4%,TBD,available,"paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
"Good Pizza, Great Pizza",2026-01,2560377,2026-08,1999298,0.7809,2025-09,38790,2026-08,27177,0.7006,0.6774,0.90,0.01359327123820461,mixed,2025-12:42.3%,2026-02:54.8%|2026-04:59.6%|2026-07:27.8%,TBD,available,"paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
My Perfect Hotel,2025-12,5664907,2026-08,4923278,0.8691,2026-08,675798,2026-08,675798,1.0000,0.8476,1.15,0.13726586229743679,long_term_stable,2026-07:26.9%,2026-07:63.6%,TBD,available,"paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
Eatventure,2026-06,670025,2026-08,631371,0.9423,2026-05,483637,2026-08,405227,0.8379,0.9389,0.89,0.6418207361440421,long_term_stable,2025-12:137.2%|2026-01:54.0%,2026-01:22.5%|2026-05:21.5%,TBD,available,"paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
Office Cat,2025-09,429095,2026-08,101219,0.2359,2025-09,413268,2026-08,231929,0.5612,0.5688,2.38,2.291358341813296,revenue_decays_slower_than_downloads,none,2026-04:58.2%,TBD,available,"paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
Rent Please!,2026-08,1140526,2026-08,1140526,1.0000,2026-04,580642,2026-08,556227,0.9580,0.8661,0.96,0.4876933976077705,long_term_stable,2025-12:31.3%|2026-02:40.8%|2026-07:35.8%,2026-03:28.7%,TBD,available,"paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
疯狂水世界 / Wild Water World,n.a.,n.a.,n.a.,n.a.,n.a.,2026-08,6774291,2026-08,6774291,1.0000,0.7422,n.a.,n.a.,evidence_insufficient,none,2026-04:35.0%|2026-08:58.5%,TBD,available,"downloads:source_unavailable; paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
Animal Restaurant,2025-12,180408,2026-08,136724,0.7579,2026-05,49734,2026-08,36059,0.7250,0.6451,0.96,0.26373570112050554,mixed,none,2026-05:145.0%|2026-07:25.8%,TBD,available,"paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
Big Farm Homestead,2026-05,964480,2026-08,506249,0.5249,2026-05,1221707,2026-08,1126094,0.9217,0.8906,1.76,2.2243876037286,download_decay_revenue_holds,2026-05:25.0%,2026-02:58.6%|2026-03:36.3%,TBD,available,"paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
Resortopia,n.a.,n.a.,n.a.,n.a.,n.a.,2026-07,3864,2026-08,2983,0.7720,0.8383,n.a.,n.a.,evidence_insufficient,none,2026-02:42.4%|2026-04:45.4%|2026-06:55.6%|2026-07:34.6%,TBD,available,"downloads:source_unavailable; paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
Cat Snack Bar,2025-10,137964,2026-08,68103,0.4936,2025-10,25989,2026-08,12754,0.4907,0.6317,0.99,0.1872751567478672,synchronized_decay,none,2026-03:79.7%|2026-07:45.1%,TBD,available,"paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
QQ经典农场,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,evidence_insufficient,none,none,TBD,available,"downloads:not_applicable; revenue:not_applicable; paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
向往的生活,2026-06,142570,2026-08,30829,0.2162,2026-08,508197,2026-08,508197,1.0000,0.8370,4.62,16.484381588763828,download_decay_revenue_holds,2026-05:59.8%|2026-06:273.0%,2026-03:118.3%|2026-06:221.4%|2026-07:70.6%,TBD,available,"paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
时尚百货城,2026-02,2446624,2026-08,299050,0.1222,2026-08,6193135,2026-08,6193135,1.0000,0.9055,8.18,20.7093629827788,download_decay_revenue_holds,2026-07:38.5%,none,TBD,available,"paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
浪漫餐厅 / Gossip Harbor,2026-07,11361120,2026-08,9528861,0.8387,2026-08,87034788,2026-08,87034788,1.0000,0.9181,1.19,9.133808122502783,long_term_stable,2026-01:106.7%|2026-07:61.3%,2026-03:28.1%,TBD,available,"paid/organic, creatives, historical rating/version, liveops and IP collab unavailable"
